Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,154.77952575683594,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,152.8522491455078,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,153.247314453125,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,151.85008239746094,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,154.268798828125,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,156.19606018066406,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.4733428955078,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.34278869628906,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,156.23460388183594,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,157.2464141845703,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,160.12771606445312,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,161.02392578125,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.4457244873047,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.67478942871094,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.65771484375,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,159.038818359375,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.37918090820312,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.4435577392578,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,161.92974853515625,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.49737548828125,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,164.0400848388672,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,168.0391845703125,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,173.57044982910156,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,173.35845947265625,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,176.9528350830078,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,177.20335388183594,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,181.83847045898438,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,177.73341369628906,53159900
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,177.9935760498047,47062900
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,177.02992248535156,35295800
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,178.6102752685547,23149500
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,180.42196655273438,27792200
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,180.96304321289062,29997500
